2025-04-30 09:20:21,交通出行,铁路12306,chi***@alipay.com,火车票,支出,489.00,花呗,交易成功,2025043022001437741452025372	,M20250430216337119	,,
2025-04-30 09:19:00,交通出行,铁路12306,chi***@alipay.com,退款-火车票,不计收支,247.50,花呗,退款成功,2025041922001437741452644980_M2025043075786324	,M20250419233066217	,,
2025-04-30 02:07:13,投资理财,招商财富宝A,/,余额宝-2025.04.29-收益发放,不计收支,0.31,余额宝,交易成功,20250430374371244741	,	,,
2025-04-29 23:31:40,退款,阿斯**店,/,退款-武昌到淮滨的火车票,不计收支,41.50,花呗,退款成功,2025041622001137741429864471*2533428625942463291_210661790736469132	,2533428625942463291_210661790736469132	,,
2025-04-29 23:24:24,退款,阿斯**店,/,退款-赤壁北到武汉,不计收支,55.00,花呗,退款成功,2025041922001137741450840727*2536350963926463291_210898381246469132	,2536350963926463291_210898381246469132	,,
2025-04-29 23:24:12,退款,阿斯兰票务专营店,/,退款-抢票差额补款费用,不计收支,2.00,花呗,退款成功,2025041922001137741450029208*2537298913224463291_210727812148469132	,2537298913224463291_210727812148469132	,,
2025-04-29 23:24:11,退款,阿斯**店,/,退款-咸宁北到武汉的火车票,不计收支,35.00,花呗,退款成功,2025041922001137741452752077*2536603644089463291_210725796360469132	,2536603644089463291_210725796360469132	,,
2025-04-29 02:04:27,投资理财,招商财富宝A,/,余额宝-2025.04.28-收益发放,不计收支,0.29,余额宝,交易成功,20250429364653036741	,	,,
2025-04-28 02:10:23,投资理财,招商财富宝A,/,余额宝-2025.04.27-收益发放,不计收支,0.17,余额宝,交易成功,20250428358596090741	,	,,
2025-04-27 11:37:05,餐饮美食,上海景春泰临餐饮有限公司,190***@qq.com,张江润和国际员工餐厅支付592FF4CD818A4F1AAB28330D49302B06,支出,17.00,花呗,交易成功,2025042722001437741431281861	,825042700501145	,,
2025-04-27 09:24:24,交通出行,滴滴出行,tjs***@didichuxing.com,滴滴打车-胡师傅,支出,14.40,花呗,交易成功,2025042722001437741432793334	,105_202504278322026401631826	,,
2025-04-27 08:52:35,日用百货,拼多多平台商户,pdd***@yiran.com,商户单号XP1825042708200045692645003355,支出,37.99,花呗,交易成功,2025042722001437741432528390	,XP1825042708200045692645003355	,,
2025-04-27 02:18:27,投资理财,招商财富宝A,/,余额宝-2025.04.26-收益发放,不计收支,0.17,余额宝,交易成功,20250427352301776741	,	,,
2025-04-26 20:20:46,餐饮美食,美团,zxp***@meituan.com,陳香貴·蘭州牛肉面-大众点评App-25042611100300001303961858536996,支出,33.90,花呗,交易成功,2025042622001437741428021799	,20250426202041U51440773202833300	,,
2025-04-26 19:10:36,交通出行,上海公共交通卡股份有限公司,jtk***@sptcc.com,上海交通卡-充值,支出,10.00,花呗,交易成功,2025042622001437741429153271	,112504268091364378	,,
2025-04-26 13:03:34,日用百货,拼多多平台商户,pdd***@yiran.com,商户单号XP1525042613201259739716001099,支出,6.00,花呗,交易成功,2025042622001437741430261203	,XP1525042613201259739716001099	,,
2025-04-26 09:18:44,其他,饿了么,ele***@service.aliyun.com,盒马NB(浦东张江孙桥店),支出,86.87,花呗,交易成功,2025042622001137741430764593	,13090600725042622137158504270	,,
2025-04-26 02:21:12,投资理财,招商财富宝A,/,余额宝-2025.04.25-收益发放,不计收支,0.20,余额宝,交易成功,20250426345027317741	,	,,
2025-04-25 21:18:22,投资理财,博时黄金-蚂蚁（杭州）基金销售有限公司,/,博时黄金-卖出至余额宝,不计收支,2023.40,余额宝,交易成功,20250425001080012404740057504058	,	,,
2025-04-25 18:40:21,餐饮美食,阿喵说百业路店,/,美团收银909700199603758271,支出,41.75,花呗,交易成功,2025042522001437741425398378	,4520180330024764010461368605760215555002243	,,
2025-04-25 11:41:38,餐饮美食,泰肯餐饮管理有限公司,/,泰肯餐饮管理有限公司_条码,支出,24.91,花呗&碰一下立减,交易成功,2025042522001437741422092740	,3712660000489000009000525758025115	,,
2025-04-25 02:26:29,投资理财,招商财富宝A,/,余额宝-2025.04.24-收益发放,不计收支,0.11,余额宝,交易成功,20250425339599036741	,	,,
2025-04-24 21:44:03,爱车养车,柏来科技,/,充电订单支付,支出,3.00,花呗,交易成功,2025042422001437741420731862	,51126600004844290025042421441110191231101965350614	,,
2025-04-24 11:38:42,餐饮美食,上海景春泰临餐饮有限公司,190***@qq.com,张江润和国际员工餐厅支付E9A6F48351A8431B85B227D271A112E7,支出,19.80,花呗,交易成功,2025042422001437741420396597	,825042409450756	,,
2025-04-24 08:19:38,服饰装扮,36**舰,dzs***@361sport.com,【活动价】361运动T恤男短袖夏季速干衣361度体恤健身跑步服透气冰丝短t男,支出,36.00,花呗,交易成功,2025042422001137741415961800	,T200P2541208299081463291	,,
2025-04-24 08:19:38,服饰装扮,森马**店,sem***@163.com,【活动价】森马短袖T恤男装新款纯棉半袖情侣纯白圆领修身打底衫贴身睡衣白t,支出,39.00,花呗,交易成功,2025042422001137741417955189	,T200P2541208299080463291	,,
2025-04-24 02:10:39,投资理财,招商财富宝A,/,余额宝-2025.04.23-收益发放,不计收支,0.12,余额宝,交易成功,20250424333682568741	,	,,
2025-04-24 01:08:13,投资理财,余额宝,jin***@cmfchina.com,余额宝-自动转入,不计收支,1838.90,账户余额,交易成功,20250424019130101000740070699731	,20250424009130501000740047451251	,,
2025-04-23 17:59:35,商业服务,杭州闲鱼信息技术有限公司,xys***@service.aliyun.com,分账-基础软件服务费(4307238183947227035)扣款,支出,11.10,,交易成功,2025042310032004720222281689	,	,,
2025-04-23 11:38:53,餐饮美食,缘味先石锅饭,/,缘味先石锅饭,支出,22.00,花呗,交易成功,2025042322001437741409774521	,3612660000481800007895227689707980	,,
2025-04-23 02:15:42,投资理财,招商财富宝A,/,余额宝-2025.04.22-收益发放,不计收支,0.17,余额宝,交易成功,20250423332130411741	,	,,
2025-04-22 11:39:05,餐饮美食,缘味先石锅饭,/,缘味先石锅饭,支出,22.00,花呗,交易成功,2025042222001437741404704630	,1012660000481800007895000615202490	,,
2025-04-22 02:26:38,投资理财,招商财富宝A,/,余额宝-2025.04.21-收益发放,不计收支,0.11,余额宝,交易成功,20250422317947596741	,	,,
2025-04-21 11:36:05,餐饮美食,上海景春泰临餐饮有限公司,190***@qq.com,张江润和国际员工餐厅支付692EB9E8869549F99B6303402E3EAEEA,支出,22.80,花呗,交易成功,2025042122001437741459293524	,825042108524751	,,
2025-04-21 02:21:17,投资理财,招商财富宝A,/,余额宝-2025.04.20-收益发放,不计收支,0.11,余额宝,交易成功,20250421312152107741	,	,,
2025-04-20 20:42:20,交通出行,铁路12306,chi***@alipay.com,火车票,支出,390.00,花呗,交易关闭,2025042022001437741455608733	,M20250420243281595	,,
2025-04-20 20:41:45,交通出行,铁路12306,chi***@alipay.com,退款-火车票,不计收支,247.50,花呗,退款成功,2025041622001437741430360988_M2025042014566919	,M20250416203216798	,,
2025-04-20 19:13:02,餐饮美食,零食很忙上海市浦东孙桥店,/,二维码支付,支出,28.35,花呗&碰一下立减,交易成功,2025042022001437741458935951	,21P2088721085226061W03_S112B0012325042004190015045	,,
2025-04-20 18:42:22,交通出行,上海公共交通卡股份有限公司,jtk***@sptcc.com,上海交通卡-充值,支出,10.00,花呗,交易成功,2025042022001437741458241078	,112504208090358018	,,
2025-04-20 13:57:44,日用百货,喜士多(新海亮店),cst***@mail.rt-store.com,新海亮门市-pos2,支出,1.79,花呗&碰一下立减,交易成功,2025042022001437741453577289	,190503278019301	,,
2025-04-20 13:05:31,餐饮美食,luckincoffee,zhi***@lkcoffee.com,订单付款,支出,9.90,花呗,交易成功,2025042022001437741458487727	,10117113391327168514	,,
2025-04-20 10:50:26,交通出行,阿斯兰票务专营店,tho***@service.aliyun.com,抢票差额补款费用,支出,15.00,花呗,交易成功,2025042022001137741456564679	,T6800P2537515742577463291	,,
2025-04-20 09:55:25,信用借还,花呗,/,花呗自动还款-2025年04月账单,不计收支,319.73,余额宝,还款成功,2025042029020999740197111320	,	,,
2025-04-20 09:12:45,日用百货,满宜购生活馆南翔店,/,item,支出,25.62,花呗&碰一下立减,交易成功,2025042022001437741454905435	,0812660000482200007895000098179745	,,
2025-04-20 08:07:06,交通出行,阿斯**店,tho***@service.aliyun.com,上海南到汉口的火车票,支出,432.00,花呗,交易成功,2025042022001137741450606533	,T6800P2536898739291463291	,,
2025-04-20 02:11:18,投资理财,招商财富宝A,/,余额宝-2025.04.19-收益发放,不计收支,0.12,余额宝,交易成功,20250420305719947741	,	,,
2025-04-19 22:02:18,退款,阿斯**店,/,退款-咸宁北到武汉的火车票,不计收支,4.00,花呗,退款成功,2025041922001137741452752077*2536603644089463291_209333857521469132	,2536603644089463291_209333857521469132	,,
2025-04-19 17:20:20,日用百货,满宜购生活馆南翔店,/,item,支出,20.53,花呗&碰一下立减,交易成功,2025041922001437741453576943	,8012660000482200007895000063962466	,,
2025-04-19 16:09:41,交通出行,阿斯兰票务专营店,tho***@service.aliyun.com,抢票差额补款费用,支出,182.50,花呗,交易关闭,2025041922001137741452276074	,T6800P2536633884082463291	,,
2025-04-19 15:55:09,交通出行,阿斯**店,tho***@service.aliyun.com,咸宁到武昌的火车票,支出,12.50,花呗,交易关闭,2025041922001137741452880585	,T6800P2536852082086463291	,,
2025-04-19 15:53:28,退款,阿斯兰票务专营店,tho***@service.aliyun.com,退款-抢票差额补款费用,不计收支,10.00,花呗,退款成功,2025041922001137741449270406_2537298625071463291_209277589541469132	,T6800P2537298625071463291	,,
2025-04-19 15:52:43,交通出行,阿斯兰票务专营店,tho***@service.aliyun.com,抢票差额补款费用,支出,4.00,花呗,交易成功,2025041922001137741450029208	,T6800P2537298913224463291	,,
2025-04-19 15:51:56,交通出行,阿斯兰票务专营店,tho***@service.aliyun.com,抢票差额补款费用,支出,10.00,花呗,交易关闭,2025041922001137741449270406	,T6800P2537298625071463291	,,
2025-04-19 15:51:22,交通出行,阿斯**店,tho***@service.aliyun.com,武昌到淮滨的火车票,支出,43.50,花呗,交易成功,2025041922001137741451143453	,T6800P2536359711841463291	,,
2025-04-19 15:47:44,退款,阿斯**店,tho***@service.aliyun.com,退款-咸宁北到武汉的火车票,不计收支,39.00,花呗,退款成功,2025041622001137741431807742_2533035434736463291_209125527457469132	,T6800P2533035434736463291	,,
2025-04-19 15:46:17,退款,阿斯**店,/,退款-武昌到淮滨的火车票,不计收支,43.50,花呗,退款成功,2025041622001137741429456814*2532817380115463291_209125095484469132	,2532817380115463291_209125095484469132	,,
2025-04-19 15:45:27,退款,阿斯**店,tho***@service.aliyun.com,退款-咸宁到武昌的火车票,不计收支,12.50,花呗,退款成功,2025041622001137741431904256_2533035902803463291_209039702281469132	,T6800P2533035902803463291	,,
2025-04-19 15:42:43,交通出行,阿斯**店,tho***@service.aliyun.com,赤壁北到武汉,支出,56.00,花呗,交易成功,2025041922001137741450840727	,T6800P2536350963926463291	,,
2025-04-19 15:40:39,交通出行,阿斯**店,tho***@service.aliyun.com,咸宁北到武汉的火车票,支出,39.00,花呗,交易成功,2025041922001137741452752077	,T6800P2536603644089463291	,,
2025-04-19 15:32:55,交通出行,阿斯**店,tho***@service.aliyun.com,上海南到武昌的火车票,支出,377.50,花呗,交易关闭,2025041922001137741452731461	,T6800P2536594428424463291	,,
2025-04-19 15:31:39,交通出行,阿斯**店,tho***@service.aliyun.com,上海南到武昌的火车票,不计收支,377.50,,交易关闭,2025041922001137741449074111	,T6800P2536829510203463291	,,
2025-04-19 15:27:31,退款,阿斯**店,/,退款-武昌到淮滨的火车票,不计收支,43.50,花呗,退款成功,2025041622001137741430638494*2532973154015463291_209121387825469132	,2532973154015463291_209121387825469132	,,
2025-04-19 15:24:42,交通出行,铁路12306,chi***@alipay.com,火车票,支出,247.50,花呗,交易关闭,2025041922001437741452644980	,M20250419233066217	,,
2025-04-19 12:12:17,餐饮美食,翔乐蔬菜铺,138******35,收钱码收款,支出,9.30,花呗,交易成功,2025041922001437741443758503	,17450359369822148437744	,,
2025-04-19 11:56:18,交通出行,上海公共交通卡股份有限公司,jtk***@sptcc.com,上海交通卡-充值,支出,10.00,花呗,交易成功,2025041922001437741447281174	,112504198090137461	,,
2025-04-19 10:35:23,生活服务,杭州菜鸟供应链管理有限公司,gg4***@cainiao.com,菜鸟裹裹-寄件费_3422469132_LP00726851158551,支出,26.20,余额宝,交易成功,2025041922001437741447399087	,CN_V1_602022228605580345	,,
2025-04-19 10:33:22,信用借还,花呗,/,花呗主动还款-2025年04月账单,不计收支,3000.00,交通银行储蓄卡(1505),还款成功,2025041929020999740190181082	,	,,
2025-04-19 09:23:19,收入,****1,178******26,出手一台VR头盔，去年11月入手，官方quest3s的配件都,收入,1850.00,,交易成功,2025041922001135721438839286	,T200P4307238183947227035	,,
2025-04-19 02:06:16,投资理财,招商财富宝A,/,余额宝-2025.04.18-收益发放,不计收支,0.15,余额宝,交易成功,20250419301301126741	,	,,
2025-04-18 11:36:56,餐饮美食,上海景春泰临餐饮有限公司,190***@qq.com,张江润和国际员工餐厅支付97F9145373F2435FB645E7402C048DD6,支出,17.50,花呗,交易成功,2025041822001437741440766566	,825041807290939	,,
2025-04-18 02:06:21,投资理财,招商财富宝A,/,余额宝-2025.04.17-收益发放,不计收支,0.12,余额宝,交易成功,20250418395058839741	,	,,
2025-04-17 11:41:45,餐饮美食,上海景春泰临餐饮有限公司,190***@qq.com,张江润和国际员工餐厅支付F0F6B29DC0EE4DD7A048BCD0C1B858E8,支出,20.80,花呗,交易成功,2025041722001437741437646129	,825041706961231	,,
2025-04-17 02:09:42,投资理财,招商财富宝A,/,余额宝-2025.04.16-收益发放,不计收支,0.12,余额宝,交易成功,20250417382689313741	,	,,
2025-04-16 23:32:50,收入,****1,178******26,出手一台VR头盔，去年11月入手，官方quest3s的配件都,不计收支,2000.00,,交易关闭,2025041622001135721421647174	,T200P4304327976153227035	,,
2025-04-16 23:26:13,收入,****9,159******58,出手一台VR头盔，去年11月入手，官方quest3s的配件都,不计收支,2000.00,,交易关闭,2025041623001105941440255594	,T200P4304320704579801725	,,
2025-04-16 14:44:55,交通出行,铁路12306,chi***@alipay.com,火车票,支出,247.50,花呗,交易关闭,2025041622001437741430360988	,M20250416203216798	,,
2025-04-16 13:16:39,交通出行,阿斯**店,tho***@service.aliyun.com,咸宁到武昌的火车票,支出,12.50,花呗,交易关闭,2025041622001137741431904256	,T6800P2533035902803463291	,,
2025-04-16 13:15:59,交通出行,阿斯**店,tho***@service.aliyun.com,武昌到淮滨的火车票,支出,43.50,花呗,交易成功,2025041622001137741429456814	,T6800P2532817380115463291	,,
2025-04-16 13:15:33,交通出行,阿斯**店,tho***@service.aliyun.com,咸宁北到武汉的火车票,支出,39.00,花呗,交易关闭,2025041622001137741431807742	,T6800P2533035434736463291	,,
2025-04-16 12:27:57,交通出行,阿斯**店,tho***@service.aliyun.com,武昌到淮滨的火车票,支出,43.50,花呗,交易成功,2025041622001137741429864471	,T6800P2533428625942463291	,,
2025-04-16 12:26:35,交通出行,阿斯**店,tho***@service.aliyun.com,武昌到淮滨的火车票,支出,43.50,花呗,交易成功,2025041622001137741430638494	,T6800P2532973154015463291	,,
2025-04-16 11:34:23,餐饮美食,上海景春泰临餐饮有限公司,190***@qq.com,张江润和国际员工餐厅支付8A53EB334224465B9A5F40CE5C749F42,支出,21.80,花呗,交易成功,2025041622001437741428010831	,825041606636087	,,
2025-04-16 02:10:19,投资理财,招商财富宝A,/,余额宝-2025.04.15-收益发放,不计收支,0.12,余额宝,交易成功,20250416380945921741	,	,,
2025-04-15 20:12:09,充值缴费,中国移动,zyd***@163.com,为152****7936话费充值,支出,10.00,花呗,交易成功,2025041522001437741426787878	,00552025041520120361232697621332	,,
2025-04-15 12:35:30,充值缴费,国网上海市电力公司(缴费),/,3月-电费-***,支出,171.90,花呗,交易成功,2025041500003001740041145405	,3101341599404	,,
2025-04-15 09:06:14,数码电器,wx**店,343***@qq.com,PH2.0电子线 连接线 2mm公母头端子线单头镀锡线2P-12P空中对接线,支出,5.48,花呗,交易成功,2025041522001137741422618447	,T200P2531035059182463291	,,
2025-04-15 02:07:53,投资理财,招商财富宝A,/,余额宝-2025.04.14-收益发放,不计收支,0.12,余额宝,交易成功,20250415375383368741	,	,,
2025-04-14 12:23:17,交通出行,阿斯**店,tho***@service.aliyun.com,武昌到咸宁南的火车票,支出,49.00,花呗,交易成功,2025041422001137741419368050	,T6800P2530838281098463291	,,
2025-04-14 12:21:14,交通出行,阿斯**店,tho***@service.aliyun.com,上海南到武昌的火车票,支出,247.50,花呗,交易关闭,2025041422001137741419613455	,T6800P2530176348172463291	,,
2025-04-14 11:38:10,餐饮美食,上海景春泰临餐饮有限公司,190***@qq.com,张江润和国际员工餐厅支付F4A84EAC885042AFA5CA7B2438784C40,支出,20.80,花呗,交易成功,2025041422001437741420000945	,825041406030224	,,
2025-04-14 02:09:29,投资理财,招商财富宝A,/,余额宝-2025.04.13-收益发放,不计收支,0.12,余额宝,交易成功,20250414370258435741	,	,,
2025-04-13 20:49:41,日用百货,t***5,131******63,ros车资料，亚博智能rosmaster-x3机器人资料提取,支出,1.90,余额宝,交易成功,2025041322001137741419357314	,T200P2529672060227463291	,,
2025-04-13 10:35:41,交通出行,上海公共交通卡股份有限公司,jtk***@sptcc.com,上海交通卡-充值,支出,10.00,花呗,交易成功,2025041322001437741415179938	,112504138089089583	,,
2025-04-13 02:24:15,投资理财,招商财富宝A,/,余额宝-2025.04.12-收益发放,不计收支,0.12,余额宝,交易成功,20250413362290927741	,	,,
2025-04-12 22:56:08,爱车养车,柏来科技,/,充电订单支付,支出,2.00,花呗,交易成功,2025041222001437741411957004	,76126600004844290025041222561110791231101892029193	,,
2025-04-12 21:17:24,交通出行,上海公共交通卡股份有限公司,jtk***@sptcc.com,上海交通卡-充值,支出,10.00,花呗,交易成功,2025041222001437741414594104	,112504128089052706	,,
2025-04-12 18:12:58,餐饮美食,美团,zxp***@meituan.com,麻都·不改良成都菜-大众点评App-25041211100300001301310222690996,支出,187.00,花呗,交易成功,2025041222001437741415189118	,20250412181254U95570772665833999	,,
2025-04-12 17:53:30,交通出行,上海公共交通卡股份有限公司,jtk***@sptcc.com,上海交通卡-充值,支出,10.00,花呗,交易成功,2025041222001437741414958367	,112504128089028189	,,
2025-04-12 12:37:49,交通出行,上海公共交通卡股份有限公司,jtk***@sptcc.com,上海交通卡-充值,支出,10.00,花呗,交易成功,2025041222001437741413324724	,112504128088982617	,,
2025-04-12 02:15:14,投资理财,招商财富宝A,/,余额宝-2025.04.11-收益发放,不计收支,0.16,余额宝,交易成功,20250412357043728741	,	,,
2025-04-11 20:23:06,餐饮美食,上海盒浦网络科技有限公司,shh***@163.com,现烤 原味菠萝麻薯 300g 9粒等3类商品,支出,48.50,花呗,交易成功,2025041122001437741406956269	,P18M6666031250411564804463291	,,
2025-04-11 17:39:34,数码电器,亚博**店,tma***@yahboom.com,0.91寸OLED液晶屏 12832显示模块IIC器件 兼容UNO/树莓派 送资料,不计收支,24.80,,交易关闭,2025041122001137741411463331	,T200P2526968607149463291	,,
2025-04-11 17:39:21,日用百货,拼多多平台商户,pdd***@yiran.com,商户单号XP1625041117201263291953005778,支出,229.00,花呗,交易成功,2025041122001437741410919992	,XP1625041117201263291953005778	,,
2025-04-11 17:36:33,退款,亚博**店,tma***@yahboom.com,退款-0.91寸OLED液晶屏 12832显示模块IIC器件 兼容UNO/树莓派 送资料 等多件,不计收支,17.80,花呗,退款成功,2025041122001137741408969051_2527667941287463291	,T200P2527667941286463291	,,
2025-04-11 17:36:33,退款,亚博**店,tma***@yahboom.com,退款-0.91寸OLED液晶屏 12832显示模块IIC器件 兼容UNO/树莓派 送资料 等多件,不计收支,259.00,花呗,退款成功,2025041122001137741408969051_2527667941288463291	,T200P2527667941286463291	,,
2025-04-11 14:11:53,数码电器,武汉**人,hey***@codrobot.com,mini智能小车底盘底板亚克力4wd四驱三轮麦轮车520编码器电机车架,支出,15.02,花呗,交易成功,2025041122001137741407470425	,T200P2527667941285463291	,,
2025-04-11 14:11:53,数码电器,wh**店,156***@163.com,WHEELTEC M3铜柱 双通直通单通六角铜柱 小车配件 等多件,支出,107.40,花呗,交易成功,2025041122001137741407783480	,T200P2527667941273463291	,,
2025-04-11 14:11:53,数码电器,亚博**店,tma***@yahboom.com,0.91寸OLED液晶屏 12832显示模块IIC器件 兼容UNO/树莓派 送资料 等多件,支出,276.80,花呗,交易关闭,2025041122001137741408969051	,T200P2527667941286463291	,,
2025-04-11 14:11:53,数码电器,必晖**部,441***@qq.com,编码器线PH2.0转接PH2.0/XH2.54 线长20CM 等多件,支出,169.61,花呗,交易成功,2025041122001137741409206284	,T200P2527667941279463291	,,
2025-04-11 02:05:26,投资理财,招商财富宝A,/,余额宝-2025.04.10-收益发放,不计收支,0.11,余额宝,交易成功,20250411355161464741	,	,,
2025-04-10 17:47:49,公共服务,中国银行股份有限公司,boc***@163.com,2025年4月党费,支出,76.00,余额宝,交易成功,2025041022001437741405477823	,250410174741a7zd03732100BQ	,,
2025-04-10 15:25:16,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-易方达年年恒秋纯债一年定期开放债券A-现金分红至余额宝,不计收支,37.22,余额宝,交易成功,20250410001080014304740023457425	,	,,
2025-04-10 09:11:17,日用百货,拼多多平台商户,pdd***@yiran.com,商户单号XP1025041009201167162095007383,支出,24.12,花呗,交易成功,2025041022001437741400685972	,XP1025041009201167162095007383	,,
2025-04-10 09:07:59,日用百货,拼多多平台商户,pdd***@yiran.com,商户单号XP1525041009200852641163002362,支出,22.45,花呗,交易成功,2025041022001437741400749143	,XP1525041009200852641163002362	,,
2025-04-10 02:10:41,投资理财,招商财富宝A,/,余额宝-2025.04.09-收益发放,不计收支,0.13,余额宝,交易成功,20250410343260274741	,	,,
2025-04-09 21:00:24,餐饮美食,水果,150******47,收钱码收款,支出,8.70,花呗,交易成功,2025040922001437741459894203	,17442036234822148437744	,,
2025-04-09 17:51:46,退款,叮咚买菜,fin***@100.me,退款-叮咚买菜-2504093373501373337,不计收支,0.50,花呗,退款成功,2025040922001437741456590378_20250409001573699723337	,20250409005705320803337	,,
2025-04-09 17:50:32,餐饮美食,叮咚买菜,fin***@100.me,叮咚买菜-2504093373501373337,支出,48.64,花呗,交易成功,2025040922001437741456590378	,20250409005705320803337	,,
2025-04-09 11:43:09,餐饮美食,上海景春泰临餐饮有限公司,190***@qq.com,张江润和国际员工餐厅支付471B0FED396A46B18CC43BFAB392B1D0,支出,18.50,花呗,交易成功,2025040922001437741455828473	,825040904412409	,,
2025-04-09 09:42:14,日用百货,拼多多平台商户,pdd***@yiran.com,商户单号XP1025040909200785196067003538,支出,24.40,花呗,交易成功,2025040922001437741456569302	,XP1025040909200785196067003538	,,
2025-04-09 09:26:27,餐饮美食,as**8,asp***@163.com,中粮屯河番茄酱198g家用无添加剂新疆西红柿酸甜可口炒菜调料美味,支出,9.91,花呗,交易成功,2025040922001137741455761207	,T200P2524569530238463291	,,
2025-04-09 09:26:27,餐饮美食,水牛**哦,343***@qq.com,陕西秦椒辣椒面微辣特香油泼面凉皮石碾红油辣椒粉油泼辣子500g,支出,15.60,花呗,交易成功,2025040922001137741458906119	,T200P2524569530239463291	,,
2025-04-09 02:33:20,投资理财,招商财富宝A,/,余额宝-2025.04.08-收益发放,不计收支,0.12,余额宝,交易成功,20250409338317634741	,	,,
